region_id,country_code
100,87
101,87
102,87
104,87
105,87
106,87
110,87
111,87
112,87
113,87
117,87
119,87
120,87
122,87
123,87
124,87
125,87
126,87
127,87
128,87
129,87
130,87
131,87
132,87
133,87
134,87
137,87
139,87
141,87
142,87
143,87
144,87
145,87
146,87
148,87
151,87
152,87
153,87
154,87
155,87
156,87
157,87
158,87
159,87
160,87
161,87
162,87
163,87
164,87
166,87
167,87
168,87
170,87
171,87
172,87
174,87
177,87
178,87
180,87
181,87
182,87
183,87
184,87
185,87
187,87
189,87
190,87
191,87
193,87
194,87
195,87
196,87
198,87
199,87
200,87
201,87
202,87
203,87
204,87
205,87
206,87
208,87
210,87
211,87
213,87
214,87
215,87
216,87
217,87
218,87
219,87
220,87
221,87
223,87
224,87
225,87
226,87
227,87
231,87
232,87
233,87
234,87
235,87
236,87
237,87
238,87
239,87
241,87
242,87
243,87
244,87
245,87
247,87
248,87
249,87
250,87
251,87
252,87
253,87
254,87
255,87
257,87
258,87
259,87
260,87
261,87
262,87
264,87
265,87
268,87
269,87
270,87
272,87
274,87
275,87
276,87
277,87
278,87
279,87
280,87
282,87
283,87
284,87
286,87
290,87
292,87
294,87
295,87
296,87
297,87
298,87
299,87
300,87
301,87
302,87
303,87
304,87
305,87
306,87
307,87
308,87
309,87
310,87
312,87
313,87
314,87
315,87
316,87
318,87
321,87
322,87
323,87
324,87
325,87
326,87
327,87
328,87
329,87
330,87
331,87
332,87
333,87
335,87
337,87
338,87
339,87
340,87
341,87
343,87
345,87
346,87
347,87
348,87
349,87
351,87
352,87
353,87
356,87
358,87
359,87
360,87
361,87
365,87
366,87
368,87
369,87
371,87
372,87
373,87
374,87
375,87
376,87
377,87
379,87
381,87
382,87
384,87
385,87
386,87
387,87
389,87
390,87
391,87
393,87
395,87
396,87
397,87
399,87
400,87
401,87
402,87
403,87
404,87
406,87
408,87
409,87
410,87
411,87
416,87
417,87
418,87
420,87
425,87
426,87
427,87
428,87
429,87
430,87
431,87
432,87
433,87
434,87
435,87
436,87
439,87
441,87
443,87
444,87
445,87
446,87
448,87
450,87
451,87
452,87
453,87
454,87
456,87
457,87
458,87
459,87
462,87
463,87
464,87
465,87
466,87
467,87
468,87
469,87
470,87
471,87
472,87
474,87
476,87
477,87
478,87
479,87
481,87
482,87
483,87
485,87
486,87
488,87
489,87
491,87
492,87
493,87
494,87
496,87
498,87
499,87
500,87
501,87
502,87
503,87
504,87
505,87
506,87
507,87
508,87
509,87
511,87
512,87
513,87
514,87
515,87
516,87
517,87
518,87
519,87
520,87
521,87
522,87
523,87
526,87
527,87
528,87
529,87
530,87
531,87
535,87
536,87
540,87
